#mu_d fE fE_homo Volume Area
4.4 -50318.7 -52492.8 53028.5 6432.06
4.425 -50691 -52492.8 53028.5 6432.06
4.45 -51064 -52492.8 53028.5 6432.06
4.475 -51437.9 -52492.8 53028.5 6432.06
4.5 -51812.7 -52492.8 53028.5 6432.06
4.525 -52188.3 -52492.8 53028.5 6432.06
4.55 -52564.7 -52492.8 53028.5 6432.06
4.575 -52941.9 -52492.8 53028.5 6432.06
4.6 -53319.8 -52492.8 53028.5 6432.06
4.625 -53698.5 -52492.8 53028.5 6432.06
4.65 -54077.8 -52492.8 53028.5 6432.06
4.675 -54457.7 -52492.8 53028.5 6432.06
4.7 -54838.1 -52492.8 53028.5 6432.06
4.725 -55218.9 -52492.8 53028.5 6432.06
