#mu_t fE fE_homo Volume Area
4.5 -9783.75 -10509.8 10617 730.434
4.525 -9858.85 -10509.8 10617 730.434
4.55 -9934.15 -10509.8 10617 730.434
4.575 -10009.6 -10509.8 10617 730.434
4.6 -10085.3 -10509.8 10617 730.434
4.625 -10161.2 -10509.8 10617 730.434
4.65 -10237.3 -10509.8 10617 730.434
4.675 -10313.5 -10509.8 10617 730.434
4.7 -10390 -10509.8 10617 730.434
4.725 -10466.6 -10509.8 10617 730.434
4.75 -10543.5 -10509.8 10617 730.434
4.775 -10620.5 -10509.8 10617 730.434
4.8 -10697.7 -10509.8 10617 730.434
4.825 -10775.3 -10509.8 10617 730.434
4.85 -10853 -10509.8 10617 730.434
4.875 -10931 -10509.8 10617 730.434
4.9 -11009.2 -10509.8 10617 730.434
4.925 -11087.7 -10509.8 10617 730.434
