# mu = 4.32
# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
10.7143 -9889.03 -9851.22 9952.56 386.743 4.32 -200 0
11.7143 -10782.7 -10746.8 10857.3 459.598 4.32 -200 0
12.7143 -11676.4 -11642.3 11762.1 538.736 4.32 -200 0
13.7143 -12570 -12537.9 12666.9 624.158 4.32 -200 0
14.7143 -13463.7 -13433.5 13571.7 715.862 4.32 -200 0
15.7143 -14357.4 -14329 14476.4 813.85 4.32 -200 0
16.7143 -15251 -15224.6 15381.2 918.121 4.32 -200 0
17.7143 -16144.7 -16120.2 16286 1028.67 4.32 -200 0
18.7143 -17038.3 -17015.7 17190.8 1145.51 4.32 -200 0
19.7143 -17932 -17911.3 18095.6 1268.63 4.32 -200 0
20.7143 -18825.6 -18806.9 19000.3 1398.04 4.32 -200 0
21.7143 -19719.3 -19702.4 19905.1 1533.72 4.32 -200 0
22.7143 -20612.9 -20598 20809.9 1675.69 4.32 -200 0

