# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7192.41 -7238.22 7238.22 261.7 -200 4.76207 0
12.127 -9591.32 -9650.96 9650.96 462.014 -200 4.76207 0
15.127 -11990.2 -12063.7 12063.7 718.876 -200 4.76207 0
18.127 -14389 -14476.4 14476.4 1032.29 -200 4.76207 0
21.127 -16787.8 -16889.2 16889.2 1402.25 -200 4.76207 0
24.127 -19186.7 -19301.9 19301.9 1828.76 -200 4.76207 0
27.127 -21585.5 -21714.7 21714.7 2311.81 -200 4.76207 0
30.127 -23984.3 -24127.4 24127.4 2851.42 -200 4.76207 0
33.127 -26383.1 -26540.2 26540.2 3447.57 -200 4.76207 0
36.127 -28781.9 -28952.9 28952.9 4100.27 -200 4.76207 0
39.127 -31180.7 -31365.6 31365.6 4809.53 -200 4.76207 0
42.127 -33579.5 -33778.4 33778.4 5575.33 -200 4.76207 0
45.127 -35978.3 -36191.1 36191.1 6397.67 -200 4.76207 0
48.127 -38377.2 -38603.9 38603.9 7276.57 -200 4.76207 0
51.127 -40776 -41016.6 41016.6 8212.02 -200 4.76207 0
54.127 -43174.8 -43429.3 43429.3 9204.01 -200 4.76207 0
57.127 -45573.6 -45842.1 45842.1 10252.6 -200 4.76207 0
60.127 -47972.4 -48254.8 48254.8 11357.6 -200 4.76207 0
63.127 -50371.2 -50667.6 50667.6 12519.3 -200 4.76207 0
66.127 -52770 -53080.3 53080.3 13737.5 -200 4.76207 0
69.127 -55168.8 -55493 55493 15012.2 -200 4.76207 0
72.127 -57567.6 -57905.8 57905.8 16343.5 -200 4.76207 0
75.127 -59966.4 -60318.5 60318.5 17731.3 -200 4.76207 0
78.127 -62365.2 -62731.3 62731.3 19175.7 -200 4.76207 0
81.127 -64764 -65144 65144 20676.6 -200 4.76207 0
84.127 -67162.8 -67556.8 67556.8 22234.1 -200 4.76207 0
87.127 -69561.6 -69969.5 69969.5 23848.2 -200 4.76207 0
90.127 -71960.4 -72382.2 72382.2 25518.7 -200 4.76207 0
93.127 -74359.2 -74795 74795 27245.9 -200 4.76207 0
96.127 -76758 -77207.7 77207.7 29029.5 -200 4.76207 0
99.127 -79156.8 -79620.5 79620.5 30869.8 -200 4.76207 0
