# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7203.09 -7239.21 7238.22 261.7 4.59443 -200 0
12.127 -9604.73 -9652.27 9650.96 462.014 4.59443 -200 0
15.127 -12006.3 -12065.3 12063.7 718.876 4.59443 -200 0
18.127 -14407.9 -14478.4 14476.4 1032.29 4.59443 -200 0
21.127 -16809.5 -16891.5 16889.2 1402.25 4.59443 -200 0
24.127 -19211.1 -19304.5 19301.9 1828.76 4.59443 -200 0
27.127 -21612.6 -21717.6 21714.7 2311.81 4.59443 -200 0
30.127 -24014.1 -24130.7 24127.4 2851.42 4.59443 -200 0
33.127 -26415.7 -26543.8 26540.2 3447.57 4.59443 -200 0
36.127 -28817.2 -28956.8 28952.9 4100.27 4.59443 -200 0
39.127 -31218.7 -31369.9 31365.6 4809.53 4.59443 -200 0
42.127 -33620.3 -33783 33778.4 5575.33 4.59443 -200 0
45.127 -36021.8 -36196 36191.1 6397.67 4.59443 -200 0
48.127 -38423.3 -38609.1 38603.9 7276.57 4.59443 -200 0
51.127 -40824.9 -41022.2 41016.6 8212.02 4.59443 -200 0
54.127 -43226.4 -43435.2 43429.3 9204.01 4.59443 -200 0
57.127 -45627.9 -45848.3 45842.1 10252.6 4.59443 -200 0
60.127 -48029.5 -48261.4 48254.8 11357.6 4.59443 -200 0
63.127 -50431 -50674.4 50667.6 12519.3 4.59443 -200 0
66.127 -52832.5 -53087.5 53080.3 13737.5 4.59443 -200 0
69.127 -55234.1 -55500.6 55493 15012.2 4.59443 -200 0
72.127 -57635.6 -57913.6 57905.8 16343.5 4.59443 -200 0
75.127 -60037.2 -60326.7 60318.5 17731.3 4.59443 -200 0
78.127 -62438.7 -62739.8 62731.3 19175.7 4.59443 -200 0
81.127 -64840.2 -65152.9 65144 20676.6 4.59443 -200 0
84.127 -67241.8 -67565.9 67556.8 22234.1 4.59443 -200 0
87.127 -69643.3 -69979 69969.5 23848.2 4.59443 -200 0
90.127 -72044.8 -72392.1 72382.2 25518.7 4.59443 -200 0
93.127 -74446.4 -74805.1 74795 27245.9 4.59443 -200 0
96.127 -76847.9 -77218.2 77207.7 29029.5 4.59443 -200 0
99.127 -79249.4 -79631.3 79620.5 30869.8 4.59443 -200 0
